Epoch,Train Loss,Test Loss
0,0.016130645104320877,0.008903113356791437
1,0.011001413991927342,0.008159793127560988
2,0.010543265812083195,0.008374012832064182
3,0.0101847672969166,0.00848625652724877
4,0.01001991540730252,0.007580885046627373
5,0.009527627232689725,0.007466571754775941
6,0.009612084074356294,0.007455140404636041
7,0.009133126535373976,0.007601984683424235
8,0.009097968756963136,0.00864064785419032
9,0.009162667961159752,0.008033791842171923
10,0.008534376422669424,0.008361180371139199
11,0.008469080878027037,0.006974619906395673
12,0.008823404252387078,0.0070158240443561224
13,0.007797745060396649,0.00659855548874475
14,0.008106223688366176,0.0062135086976923045
15,0.007442450008781279,0.009101463167462498
16,0.007882408600426832,0.007407645951025188
17,0.00744008984203624,0.006013415614143014
18,0.007027849448465948,0.0073580157244578
19,0.007424738932937636,0.005360146309249103
20,0.006932430541521664,0.006159976456547156
21,0.007493500384675749,0.005540801672032103
22,0.006718004187490097,0.006259274808689952
23,0.007078853347023033,0.006146687699947506
24,0.007203753108269204,0.005480864562559873
25,0.007089480597888893,0.005574882146902382
26,0.006779123448877264,0.005488457769388333
27,0.006121194585999947,0.006165407173102722
28,0.006688254512451842,0.006139479976263828
29,0.0062761147964303775,0.005429678980726748
30,0.00636945798858937,0.005884091032203287
31,0.005695505898398489,0.004940254718530923
32,0.006172661568922133,0.007373418228235095
33,0.0054281758286564025,0.004918373544933274
34,0.005320046931678839,0.005482727015623823
35,0.006323314070606888,0.007755721965804696
36,0.0064617466966826785,0.004540396158699877
37,0.005312705131334458,0.004284613230265677
38,0.005257714400659867,0.004411120456643403
39,0.005905324533992147,0.005106550367781892
40,0.005377294651579933,0.004277708247536793
41,0.005160782490146614,0.004585482372203842
42,0.004896270294705311,0.004874963825568557
43,0.005237531903499769,0.003822262294124812
44,0.0051987784119496535,0.004726936144288629
45,0.0045975486538767565,0.00490260093647521
46,0.0047427684865828795,0.005369588977191597
47,0.004957230655097608,0.004113700479501858
48,0.004806651279993229,0.004516914865234867
49,0.005007966265666409,0.004938798875082284
50,0.005835215752486581,0.00447912399249617
51,0.004720755973120488,0.003970962931634858
52,0.004202605748028195,0.005006664199754596
53,0.004887575828233513,0.003788468346465379
54,0.004982378049674681,0.004501237347722053
55,0.005008889806172732,0.004322001308901235
56,0.0062057087158437,0.004492616944480688
57,0.005054744716212785,0.003854108898667619
58,0.00434033774920755,0.004318036447511986
59,0.004284985016210605,0.004080396733479574
60,0.004014335127776268,0.004255012547946535
61,0.004448718468311353,0.004516706295544281
62,0.004278326564926212,0.00428586698253639
63,0.0037748569028720385,0.0037636261549778283
64,0.003723247854780974,0.004926810145843774
65,0.0034445760341487446,0.00359033087734133
66,0.003688820382240781,0.00441758735687472
67,0.003837499486369286,0.00392321870313026
68,0.0036982015027838236,0.0031080372660653665
69,0.0035113965672188266,0.00315391804324463
70,0.0037607948534522143,0.003960845345864073
71,0.003648872982505393,0.003493708890164271
72,0.0034530502734153325,0.0037948658398818226
